Animal,Slice,Sex,Subregion,z-plane,placement order,baseline uM,baseline DA/p,Baseline Vmax (nM/s),stimulation (mA),output (uM),cycle stage
RtM2,R1,Male,vmCPu,rostral,p4,0.590,467.970,1429.520,0.40,0.544,NA
RtM2,R1,Male,vmCPu,rostral,p4,0.590,467.970,1429.520,0.45,0.559,NA
RtM2,R1,Male,vmCPu,rostral,p4,0.590,467.970,1429.520,0.50,0.505,NA
RtM2,R1,Male,vmCPu,rostral,p4,0.590,467.970,1429.520,0.60,0.513,NA
RtM2,R1,Male,vmCPu,rostral,p4,0.590,467.970,1429.520,0.70,0.498,NA
RtM2,R1,Male,vmCPu,rostral,p4,0.590,467.970,1429.520,0.80,0.505,NA
RtM2,R1,Male,core,rostral,p2,0.340,257.270,982.520,0.14,0.000,NA
RtM2,R1,Male,core,rostral,p2,0.340,257.270,982.520,0.16,0.000,NA
RtM2,R1,Male,core,rostral,p2,0.340,257.270,982.520,0.18,0.000,NA
RtM2,R1,Male,core,rostral,p2,0.340,257.270,982.520,0.20,0.021,NA
RtM2,R1,Male,core,rostral,p2,0.340,257.270,982.520,0.22,0.057,NA
RtM2,R1,Male,core,rostral,p2,0.340,257.270,982.520,0.24,0.071,NA
RtM2,R1,Male,core,rostral,p2,0.340,257.270,982.520,0.26,0.099,NA
RtM2,R1,Male,core,rostral,p2,0.340,257.270,982.520,0.30,0.142,NA
RtM2,R1,Male,core,rostral,p2,0.340,257.270,982.520,0.35,0.149,NA
RtM2,R1,Male,core,rostral,p2,0.340,257.270,982.520,0.40,0.206,NA
RtM2,R1,Male,core,rostral,p2,0.340,257.270,982.520,0.45,0.220,NA
RtM2,R1,Male,core,rostral,p2,0.340,257.270,982.520,0.50,0.241,NA
RtM2,R1,Male,core,rostral,p2,0.340,257.270,982.520,0.60,0.284,NA
RtM2,R1,Male,core,rostral,p2,0.340,257.270,982.520,0.70,0.298,NA
RtM2,R1,Male,core,rostral,p2,0.340,257.270,982.520,0.80,0.313,NA
RtM2,R1,Male,lshell,rostral,p1,0.410,323.210,976.520,0.14,0.000,NA
RtM2,R1,Male,lshell,rostral,p1,0.410,323.210,976.520,0.16,0.000,NA
RtM2,R1,Male,lshell,rostral,p1,0.410,323.210,976.520,0.18,0.000,NA
RtM2,R1,Male,lshell,rostral,p1,0.410,323.210,976.520,0.20,0.028,NA
RtM2,R1,Male,lshell,rostral,p1,0.410,323.210,976.520,0.22,0.042,NA
RtM2,R1,Male,lshell,rostral,p1,0.410,323.210,976.520,0.24,0.042,NA
RtM2,R1,Male,lshell,rostral,p1,0.410,323.210,976.520,0.26,0.063,NA
RtM2,R1,Male,lshell,rostral,p1,0.410,323.210,976.520,0.30,0.105,NA
RtM2,R1,Male,lshell,rostral,p1,0.410,323.210,976.520,0.35,0.176,NA
RtM2,R1,Male,lshell,rostral,p1,0.410,323.210,976.520,0.40,0.183,NA
RtM2,R1,Male,lshell,rostral,p1,0.410,323.210,976.520,0.45,0.239,NA
RtM2,R1,Male,lshell,rostral,p1,0.410,323.210,976.520,0.50,0.239,NA
RtM2,R1,Male,lshell,rostral,p1,0.410,323.210,976.520,0.60,0.288,NA
RtM2,R1,Male,lshell,rostral,p1,0.410,323.210,976.520,0.70,0.316,NA
RtM2,R1,Male,lshell,rostral,p1,0.410,323.210,976.520,0.80,0.337,NA
RtM2,R1,Male,mshell,rostral,p3,0.110,89.940,347.500,0.14,0.000,NA
RtM2,R1,Male,mshell,rostral,p3,0.110,89.940,347.500,0.16,0.000,NA
RtM2,R1,Male,mshell,rostral,p3,0.110,89.940,347.500,0.18,0.000,NA
RtM2,R1,Male,mshell,rostral,p3,0.110,89.940,347.500,0.20,0.008,NA
RtM2,R1,Male,mshell,rostral,p3,0.110,89.940,347.500,0.22,0.031,NA
RtM2,R1,Male,mshell,rostral,p3,0.110,89.940,347.500,0.24,0.031,NA
RtM2,R1,Male,mshell,rostral,p3,0.110,89.940,347.500,0.26,0.061,NA
RtM2,R1,Male,mshell,rostral,p3,0.110,89.940,347.500,0.30,0.069,NA
RtM2,R1,Male,mshell,rostral,p3,0.110,89.940,347.500,0.35,0.076,NA
RtM2,R1,Male,mshell,rostral,p3,0.110,89.940,347.500,0.40,0.092,NA
RtM2,R1,Male,mshell,rostral,p3,0.110,89.940,347.500,0.45,0.092,NA
RtM2,R1,Male,mshell,rostral,p3,0.110,89.940,347.500,0.50,0.076,NA
RtM2,R1,Male,mshell,rostral,p3,0.110,89.940,347.500,0.60,0.084,NA
RtM2,R1,Male,mshell,rostral,p3,0.110,89.940,347.500,0.70,0.084,NA
RtM2,R1,Male,mshell,rostral,p3,0.110,89.940,347.500,0.80,0.092,NA
RtM2,R2,Male,dlCPu,rostral,p3,0.670,550.910,1375.520,0.14,0.000,NA
RtM2,R2,Male,dlCPu,rostral,p3,0.670,550.910,1375.520,0.16,0.000,NA
RtM2,R2,Male,dlCPu,rostral,p3,0.670,550.910,1375.520,0.18,0.053,NA
RtM2,R2,Male,dlCPu,rostral,p3,0.670,550.910,1375.520,0.20,0.063,NA
RtM2,R2,Male,dlCPu,rostral,p3,0.670,550.910,1375.520,0.22,0.137,NA
RtM2,R2,Male,dlCPu,rostral,p3,0.670,550.910,1375.520,0.24,0.200,NA
RtM2,R2,Male,dlCPu,rostral,p3,0.670,550.910,1375.520,0.26,0.221,NA
